"日付","始値","高値","安値","終値","前月比","前月比％","売買高(株)","code"
"15/05/29","4,006.0","4,827.5","3,967.0","4,698.0","+673.5","16.7","83,165,000",7270
"15/04/30","3,990.0","4,235.0","3,900.0","4,024.5","+33.5","0.8","83,523,800",7270
"15/03/31","4,085.0","4,310.0","3,950.0","3,991.0","-70.0","-1.7","90,066,000",7270
"15/02/27","4,250.0","4,295.0","3,893.0","4,061.0","-235.5","-5.5","99,874,500",7270
"15/01/30","4,297.5","4,400.0","4,092.0","4,296.5","-3.5","-0.1","82,260,900",7270
"14/12/30","4,318.0","4,617.0","4,025.5","4,300.0","-18","-0.4","117,123,800",7270
"14/11/28","4,140.0","4,328.0","3,905.5","4,318.0","719","20","134,883,300",7270
"14/10/31","3,556.0","3,618.0","3,050.0","3,599.0","-27","-0.7","125,219,500",7270
"14/09/30","2,967.0","3,638.0","2,941.5","3,626.0","670.5","22.7","104,126,700",7270
"14/08/29","2,946.5","3,029.0","2,811.0","2,955.5","-10.5","-0.4","61,329,000",7270
"14/07/31","2,804.0","3,064.5","2,792.0","2,966.0","161","5.7","61,026,000",7270
"14/06/30","2,720.0","2,865.0","2,707.0","2,805.0","110","4.1","74,421,300",7270
"14/05/30","2,708.0","2,757.0","2,380.0","2,695.0","10","0.4","106,777,700",7270
"14/04/30","2,810.0","2,960.0","2,612.0","2,685.0","-107","-3.8","80,037,000",7270
"14/03/31","2,716.0","2,843.0","2,527.0","2,792.0","39","1.4","76,582,400",7270
"14/02/28","2,800.0","2,854.0","2,566.0","2,753.0","-94","-3.3","81,207,800",7270
"14/01/31","2,981.0","3,090.0","2,825.0","2,847.0","-168","-5.6","94,807,200",7270
"13/12/30","2,920.0","3,015.0","2,750.0","3,015.0","123","4.3","127,863,200",7270
"13/11/29","2,678.0","2,900.0","2,590.0","2,892.0","221","8.3","111,946,100",7270
"13/10/31","2,750.0","2,856.0","2,624.0","2,671.0","-39","-1.4","158,076,000",7270
"13/09/30","2,389.0","2,768.0","2,378.0","2,710.0","321","13.4","131,619,000",7270
"13/08/30","2,499.0","2,665.0","2,286.0","2,389.0","-33","-1.4","229,551,000",7270
"13/07/31","2,497.0","2,882.0","2,418.0","2,422.0","-23","-0.9","258,633,000",7270
"13/06/28","2,241.0","2,467.0","1,950.0","2,445.0","96","4.1","302,460,000",7270
"13/05/31","1,807.0","2,765.0","1,742.0","2,349.0","509","27.7","297,910,000",7270
"13/04/30","1,434.0","1,923.0","1,330.0","1,840.0","379","25.9","212,411,000",7270
"13/03/29","1,381.0","1,609.0","1,371.0","1,461.0","75","5.4","136,253,000",7270
"13/02/28","1,249.0","1,443.0","1,217.0","1,386.0","155","12.6","165,355,000",7270
"13/01/31","1,130.0","1,244.0","1,052.0","1,231.0","155","14.4","152,993,000",7270
"12/12/28","933.0","1,086.0","883.0","1,076.0","151","16.3","120,581,000",7270
"12/11/30","769.0","931.0","763.0","925.0","158","20.6","151,255,000",7270
"12/10/31","649.0","773.0","632.0","767.0","119","18.4","131,319,000",7270
"12/09/28","623.0","692.0","605.0","648.0","22","3.5","81,719,000",7270
"12/08/31","582.0","674.0","545.0","626.0","39","6.6","96,456,000",7270
"12/07/31","646.0","668.0","557.0","587.0","-50","-7.8","81,942,000",7270
"12/06/29","598","646","553","637","33","5.5","102,193,000",7270
"12/05/31","604","650","556","604","-9","-1.5","150,997,000",7270
"12/04/27","679","685","587","613","-52","-7.8","121,434,000",7270
"12/03/30","618","697","577","665","51","8.3","141,805,000",7270
"12/02/29","524","651","504","614","96","18.5","207,205,000",7270
"12/01/31","473","534","468","518","53","11.4","111,962,000",7270
"11/12/30","443","475","420","465","30","6.9","120,333,000",7270
"11/11/30","500","507","402","435","-75","-14.7","97,504,000",7270
"11/10/31","446","517","416","510","52","11.4","91,917,000",7270
"11/09/30","484","495","421","458","-18","-3.8","107,679,000",7270
"11/08/31","620","638","432","476","-144","-23.2","168,705,000",7270
"11/07/29","627","643","612","620","-2","-0.3","92,369,000",7270
"11/06/30","598","633","557","622","25","4.2","120,737,000",7270
"11/05/31","614","621","565","597","-5","-0.8","135,026,000",7270
"11/04/28","538","609","530","602","66","12.3","182,223,000",7270
"11/03/31","706","719","486","536","-165","-23.5","244,098,000",7270
"11/02/28","706","758","673","701","-2","-0.3","130,802,000",7270
"11/01/31","637","718","633","703","73","11.6","121,004,000",7270
"10/12/30","615","657","609","630","10","1.6","102,134,000",7270
"10/11/30","550","639","535","620","63","11.3","150,889,000",7270
"10/10/29","542","569","514","557","25","4.7","190,995,000",7270
"10/09/30","466","538","454","532","60","12.7","123,301,000",7270
"10/08/31","467","493","435","472","-5","-1","143,393,000",7270
"10/07/30","476","511","449","477","-3","-0.6","132,951,000",7270
"10/06/30","519","573","473","480","-44","-8.4","220,472,000",7270
"10/05/31","519","546","481","524","-6","-1.1","150,100,000",7270
"10/04/30","485","540","472","530","46","9.5","117,752,000",7270
"10/03/31","406","493","402","484","79","19.5","95,069,000",7270
"10/02/26","426","470","393","405","-20","-4.7","110,630,000",7270
"10/01/29","452","479","422","425","-25","-5.6","107,705,000",7270
