"購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）","code"
"0.00%","外枠なし","0.08800%","JP90C000GKC6"
"0.00%","外枠なし","0.12000%","JP90C000GMQ2"
"0.00%","外枠なし","0.12000%","JP90C000GMR0"
"0.00%","外枠なし","0.12000%","JP90C000GMS8"
"0.00%","外枠なし","0.22000%","JP90C000GV81"
"0.00%","外枠なし","0.22000%","JP90C000GV99"
"3.00%以内","外枠なし","0.26600%","JP90C000GVW1"
"0.00%","外枠なし","0.10400%","JP90C000H1T1"
"0.00%","外枠なし","0.12000%","JP90C000HZE8"
"0.00%","外枠なし","0.28000%","JP90C000J5T0"
"0.00%","外枠なし","0.28000%","JP90C000J5U8"
"0.00%","外枠なし","0.28000%","JP90C000J5V6"
"0.00%","外枠なし","0.28000%","JP90C000J5W4"
"0.00%","外枠なし","0.16000%","JP90C000JTA5"
"-","外枠なし","0.24000%","JP90C000JUG0"
"0.00%","外枠なし","0.37000%","JP90C000JUK2"
"0.00%","外枠なし","0.22000%","JP90C000JUL0"
"0.00%","外枠なし","0.20000%","JP90C000JX03"
"0.00%","外枠なし","0.20000%","JP90C000JX11"
"-","外枠なし","0.22000%","JP90C000KBY1"
"0.00%","外枠なし","0.10400%","JP90C000KCW3"
"3.00%以内","外枠なし","0.26600%","JP90C000KQ33"
"3.00%以内","外枠なし","0.26600%","JP90C000KQ41"
"0.00%","外枠なし","0.36500%","JP90C000LZD2"
"0.00%","外枠なし","0.36500%","JP90C000LZE0"
"0.00%","外枠なし","0.36500%","JP90C000LZF7"
"0.00%","外枠なし","0.36500%","JP90C000LZG5"
"0.00%","外枠なし","0.36500%","JP90C000LZH3"
