"X2","code","騰落率","リスク（標準偏差）","シャープレシオ"
"5年","JP90C0007DN3",49.35,16.54,0.57
"10年","JP90C0007DN3",266.81,16.68,0.87
"6ヶ月","JP90C0007DP8",1.22,21.71,0.2
"1年","JP90C0007DP8",12.28,16.7,0.77
"3年","JP90C0007DP8",68.05,18.44,1.04
"5年","JP90C0007DP8",86.44,17.21,0.82
"10年","JP90C0007DP8",365.84,16.53,1.02
"6ヶ月","JP90C0007DQ6",-0.8,11.17,-0.1
"1年","JP90C0007DQ6",-6.89,11.9,-0.54
"3年","JP90C0007DQ6",32.01,19.47,0.58
"5年","JP90C0007DQ6",32.17,18.34,0.4
"10年","JP90C0007DQ6",126.65,17.67,0.55
"6ヶ月","JP90C0007LN6",1.14,20.16,0.2
"1年","JP90C0007LN6",9.86,15.62,0.68
"3年","JP90C0007LN6",63.8,18,1.01
"5年","JP90C0007LN6",79.62,16.8,0.79
"10年","JP90C0007LN6",325.64,16.15,0.98
"6ヶ月","JP90C0007LP1",-0.56,10.12,-0.07
"1年","JP90C0007LP1",-7.23,11.81,-0.58
"3年","JP90C0007LP1",31.27,19.31,0.57
"5年","JP90C0007LP1",28.67,18.28,0.37
"10年","JP90C0007LP1",109.18,17.75,0.51
"6ヶ月","JP90C0008022",1.15,11.15,0.25
"1年","JP90C0008022",2.73,8.59,0.36
"3年","JP90C0008022",26.34,11.37,0.75
"5年","JP90C0008022",33.41,10.09,0.63
"10年","JP90C0008022",144.7,10.1,0.94
"6ヶ月","JP90C00081U4",0.49,12.04,0.13
"1年","JP90C00081U4",1.63,10.98,0.2
"3年","JP90C00081U4",35.06,14.99,0.75
"5年","JP90C00081U4",35.75,14.74,0.49
"10年","JP90C00081U4",223.2,15.74,0.83
"6ヶ月","JP90C0008CH5",-10.64,19.39,-1.06
"1年","JP90C0008CH5",-9.66,15.64,-0.57
"3年","JP90C0008CH5",24.66,15.62,0.55
"5年","JP90C0008CH5",32.77,16.01,0.44
"10年","JP90C0008CH5",346.95,15.48,1.05
"6ヶ月","JP90C00091E7",-0.42,20.71,0.05
"1年","JP90C00091E7",2.9,15.7,0.26
"3年","JP90C00091E7",52.54,22,0.76
"5年","JP90C00091E7",60.03,20.22,0.57
