"code","value","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C000CMK4","たわらノーロード先進国株式","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.20000%"
"JP90C000CZ57","たわらノーロード新興国株式","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠0.5％未満","0.34000%"
"JP90C000D1X7","ｅＭＡＸＩＳ最適化バランス（マイゴールキーパー）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.50000%"
"JP90C000D1Y5","ｅＭＡＸＩＳ最適化バランス（マイディフェンダー）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D1Z2","ｅＭＡＸＩＳ最適化バランス（マイミッドフィルダー）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D208","ｅＭＡＸＩＳ最適化バランス（マイフォワード）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D216","ｅＭＡＸＩＳ最適化バランス（マイストライカー）","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C000D3K0","キャピタル世界株式ファンド（ＤＣ年金つみたて専用）","追加型/内外/株式","キャピタル・インターナショナル","0.00%","外枠なし","0.98000%"
"JP90C000DPW0","東京海上・日経２２５インデックスファンド","追加型/国内/株式","東京海上アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000DVK3","ｉＦｒｅｅ日経２２５インデックス","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000DVL1","ｉＦｒｅｅ　ＴＯＰＩＸインデックス","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000DVM9","ｉＦｒｅｅ　ＪＰＸ日経４００インデックス","追加型/国内/株式","大和アセットマネジメント","0.00%","外枠なし","0.19500%"
"JP90C000DVN7","ｉＦｒｅｅ外国株式インデックス（為替ヘッジなし）","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.19000%"
"JP90C000DVP2","ｉＦｒｅｅ　ＮＹダウ・インデックス","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.22500%"
"JP90C000DVR8","ｉＦｒｅｅ新興国株式インデックス","追加型/海外/株式","大和アセットマネジメント","0.00%","外枠なし","0.34000%"
"JP90C000DVX6","ｉＦｒｅｅ８資産バランス","追加型/内外/資産複合","大和アセットマネジメント","0.00%","外枠なし","0.22000%"
"JP90C000DXE2","たわらノーロード先進国株式＜為替ヘッジあり＞","追加型/海外/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.20000%"
"JP90C000E6Z0","＜購入・換金手数料なし＞ニッセイ日経平均インデックスファンド","追加型/国内/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.14000%"
"JP90C000ENA9","ｅＭＡＸＩＳ　Ｓｌｉｍ国内株式（ＴＯＰＩＸ）","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.14000%"
"JP90C000ENC5","ｅＭＡＸＩＳ　Ｓｌｉｍ先進国株式インデックス","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.09300%"
"JP90C000ERE2","たわらノーロードＴＯＰＩＸ","追加型/国内/株式","アセットマネジメントＯｎｅ","0.00%","外枠なし","0.17000%"
