"code","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C000DVL1","5年",35.79,14.72,0.49
"JP90C000DVL1","10年",NA,NA,NA
"JP90C000DVM9","6ヶ月",0.39,12.59,0.12
"JP90C000DVM9","1年",1.42,11.45,0.18
"JP90C000DVM9","3年",36.83,15.33,0.76
"JP90C000DVM9","5年",37.26,14.93,0.5
"JP90C000DVM9","10年",NA,NA,NA
"JP90C000DVN7","6ヶ月",1.47,21.73,0.22
"JP90C000DVN7","1年",12.74,16.71,0.8
"JP90C000DVN7","3年",69.91,18.46,1.06
"JP90C000DVN7","5年",90.03,17.24,0.84
"JP90C000DVN7","10年",NA,NA,NA
"JP90C000DVP2","6ヶ月",7.33,17.92,0.87
"JP90C000DVP2","1年",13.87,13.45,1.03
"JP90C000DVP2","3年",62.12,18.19,0.98
"JP90C000DVP2","5年",98.04,17.07,0.89
"JP90C000DVP2","10年",NA,NA,NA
"JP90C000DVR8","6ヶ月",5.35,10.71,1.02
"JP90C000DVR8","1年",2.29,10.59,0.27
"JP90C000DVR8","3年",26.77,21.3,0.48
"JP90C000DVR8","5年",33.31,19.28,0.4
"JP90C000DVR8","10年",NA,NA,NA
"JP90C000DVX6","6ヶ月",1.88,10.94,0.39
"JP90C000DVX6","1年",4.03,8.36,0.51
"JP90C000DVX6","3年",25.9,11.63,0.72
"JP90C000DVX6","5年",34.2,10.17,0.64
"JP90C000DVX6","10年",NA,NA,NA
"JP90C000DXE2","6ヶ月",-9.6,17.86,-1.04
"JP90C000DXE2","1年",-1.41,14.98,-0.02
"JP90C000DXE2","3年",41.59,17.49,0.75
"JP90C000DXE2","5年",57.46,15.69,0.66
"JP90C000DXE2","10年",NA,NA,NA
"JP90C000E6Z0","6ヶ月",-0.95,15.75,-0.05
"JP90C000E6Z0","1年",-3.88,14.28,-0.21
"JP90C000E6Z0","3年",39.45,17.15,0.73
"JP90C000E6Z0","5年",51.66,16.55,0.59
"JP90C000E6Z0","10年",NA,NA,NA
"JP90C000ENA9","6ヶ月",0.51,12.02,0.14
"JP90C000ENA9","1年",1.69,10.95,0.21
"JP90C000ENA9","3年",35.21,14.98,0.75
"JP90C000ENA9","5年",35.83,14.72,0.49
"JP90C000ENA9","10年",NA,NA,NA
"JP90C000ENC5","6ヶ月",1.53,21.71,0.23
"JP90C000ENC5","1年",12.87,16.7,0.81
"JP90C000ENC5","3年",70.51,18.44,1.06
"JP90C000ENC5","5年",90.98,17.21,0.84
"JP90C000ENC5","10年",NA,NA,NA
"JP90C000ERE2","6ヶ月",0.51,12.02,0.14
"JP90C000ERE2","1年",1.67,10.96,0.2
"JP90C000ERE2","3年",35.03,14.98,0.75
"JP90C000ERE2","5年",35.57,14.72,0.49
"JP90C000ERE2","10年",NA,NA,NA
"JP90C000EWV6","6ヶ月",1.36,11.15,0.29
"JP90C000EWV6","1年",3.13,8.59,0.4
"JP90C000EWV6","3年",27.65,11.38,0.78
"JP90C000EWV6","5年",35.6,10.1,0.66
"JP90C000EWV6","10年",NA,NA,NA
"JP90C000F3F8","6ヶ月",-1.19,3.46,-0.67
"JP90C000F3F8","1年",-0.28,2.6,-0.09
"JP90C000F3F8","3年",5.92,2.42,0.82
"JP90C000F3F8","5年",NA,NA,NA
"JP90C000F3F8","10年",NA,NA,NA
"JP90C000F7A0","6ヶ月",-0.42,11.28,-0.03
"JP90C000F7A0","1年",2.16,8.69,0.29
"JP90C000F7A0","3年",26.61,10.75,0.79
