"code","fund","fundcode","インデックス型","設定日","償還日","償還までの期間","決算頻度","決算日","目論見書/運用報告書","解約手数料","type","inves","購入時手数料（上限）","信託財産留保額","運用管理費用（信託報酬）"
"JP90C0008022","ｅＭＡＸＩＳバランス（８資産均等型）","0331111A","インデックス型","2011/10/31","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","三菱ＵＦＪ国際投信","0.00%","外枠0.5％未満","0.50000%"
"JP90C00081U4","三井住友・ＤＣつみたてＮＩＳＡ・日本株インデックスファンド","7931211C","インデックス型","2011/12/09","無期限","無期限","年1回","11/30","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友ＤＳアセットマネジメント","0.00%","外枠なし","0.16000%"
"JP90C0008CH5","ひふみプラス","9C311125","該当なし","2012/05/28","無期限","無期限","年1回","09/30","目論見書 運用報告書","外枠なし","追加型/内外/株式","レオス・キャピタルワークス","3.00%以内","外枠なし","0.98000%"
"JP90C00091E7","ＥＸＥ－ｉグローバル中小型株式ファンド","89313135","該当なし","2013/05/13","無期限","無期限","年1回","05/12","目論見書","外枠なし","追加型/内外/株式","ＳＢＩアセットマネジメント","0.00%","外枠なし","0.23000%"
"JP90C00095F5","野村インデックスファンド・外国株式・為替ヘッジ型","01314135","インデックス型","2013/05/07","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/海外/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.55000%"
"JP90C0009ER8","ｅＭＡＸＩＳ　ＮＹダウインデックス","03311138","インデックス型","2013/08/07","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/海外/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.60000%"
"JP90C0009L03","野村インデックスファンド・海外５資産バランス","01316139","インデックス型","2013/09/12","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/海外/資産複合","野村アセットマネジメント","2.00%以内","外枠0.5％未満","0.60000%"
"JP90C0009L37","野村インデックスファンド・内外７資産バランス・為替ヘッジ型","01313139","インデックス型","2013/09/12","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","野村アセットマネジメント","2.00%以内","外枠0.5％未満","0.50000%"
"JP90C0009VE0","＜購入・換金手数料なし＞ニッセイ外国株式インデックスファンド","2931113C","インデックス型","2013/12/10","無期限","無期限","年1回","11/20","目論見書 運用報告書","外枠なし","追加型/海外/株式","ニッセイアセットマネジメント","0.00%","外枠なし","0.09300%"
"JP90C000A0B8","ＳＭＴ　ＪＰＸ日経インデックス４００・オープン","64313141","インデックス型","2014/01/21","無期限","無期限","年2回","04/20, 10/20","目論見書 運用報告書","外枠なし","追加型/国内/株式","三井住友トラスト・アセットマネジメント","2.00%以内","外枠なし","0.37000%"
"JP90C000A808","野村インデックスファンド・ＪＰＸ日経４００","01311143","インデックス型","2014/03/07","無期限","無期限","年1回","09/06","目論見書 運用報告書","外枠なし","追加型/国内/株式","野村アセットマネジメント","1.00%以内","外枠なし","0.40000%"
"JP90C000A9Q7","ｅＭＡＸＩＳ　ＪＰＸ日経４００インデックス","03311144","インデックス型","2014/04/01","無期限","無期限","年1回","01/26","目論見書 運用報告書","外枠なし","追加型/国内/株式","三菱ＵＦＪ国際投信","0.00%","外枠なし","0.40000%"
"JP90C000ADD2","ブラックロック・インデックス投資戦略ファンド","48311145","該当なし","2014/05/28","無期限","無期限","年1回","08/02","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","ブラックロック・ジャパン","1.00%以内","外枠なし","0.79000%"
"JP90C000AYS6","フィデリティ・ターゲット・デート・ファンド（ベーシック）２０５０","3231114A","該当なし","2014/10/16","2051/09/25","29年3ヶ月","年1回","09/25","目論見書 運用報告書","外枠なし","追加型/内外/資産複合","フィデリティ投信","1.00%以内","外枠なし","0.26600%"
