"code","fundcode","期間","騰落率","リスク（標準偏差）","シャープレシオ"
"JP90C00074C7","03312107","10年",323.26,16.27,0.97
"JP90C00074E3","64311107","6ヶ月",-1.05,15.73,-0.07
"JP90C00074E3","64311107","1年",-4.16,14.25,-0.23
"JP90C00074E3","64311107","3年",38.23,17.13,0.72
"JP90C00074E3","64311107","5年",49.59,16.53,0.57
"JP90C00074E3","64311107","10年",269.21,16.68,0.87
"JP90C0007DM5","0131610B","6ヶ月",0.39,12.04,0.12
"JP90C0007DM5","0131610B","1年",1.4,10.98,0.18
"JP90C0007DM5","0131610B","3年",34.04,14.98,0.73
"JP90C0007DM5","0131610B","5年",34,14.71,0.47
"JP90C0007DM5","0131610B","10年",216.87,15.72,0.81
"JP90C0007DN3","0131510B","6ヶ月",-1.08,15.77,-0.07
"JP90C0007DN3","0131510B","1年",-4.25,14.27,-0.24
"JP90C0007DN3","0131510B","3年",38.09,17.13,0.71
"JP90C0007DN3","0131510B","5年",49.35,16.54,0.57
"JP90C0007DN3","0131510B","10年",266.81,16.68,0.87
"JP90C0007DP8","0131410B","6ヶ月",1.22,21.71,0.2
"JP90C0007DP8","0131410B","1年",12.28,16.7,0.77
"JP90C0007DP8","0131410B","3年",68.05,18.44,1.04
"JP90C0007DP8","0131410B","5年",86.44,17.21,0.82
"JP90C0007DP8","0131410B","10年",365.84,16.53,1.02
"JP90C0007DQ6","0131310B","6ヶ月",-0.8,11.17,-0.1
"JP90C0007DQ6","0131310B","1年",-6.89,11.9,-0.54
"JP90C0007DQ6","0131310B","3年",32.01,19.47,0.58
"JP90C0007DQ6","0131310B","5年",32.17,18.34,0.4
"JP90C0007DQ6","0131310B","10年",126.65,17.67,0.55
"JP90C0007LN6","79311114","6ヶ月",1.14,20.16,0.2
"JP90C0007LN6","79311114","1年",9.86,15.62,0.68
"JP90C0007LN6","79311114","3年",63.8,18,1.01
"JP90C0007LN6","79311114","5年",79.62,16.8,0.79
"JP90C0007LN6","79311114","10年",325.64,16.15,0.98
"JP90C0007LP1","79312114","6ヶ月",-0.56,10.12,-0.07
"JP90C0007LP1","79312114","1年",-7.23,11.81,-0.58
"JP90C0007LP1","79312114","3年",31.27,19.31,0.57
"JP90C0007LP1","79312114","5年",28.67,18.28,0.37
"JP90C0007LP1","79312114","10年",109.18,17.75,0.51
"JP90C0008022","0331111A","6ヶ月",1.15,11.15,0.25
"JP90C0008022","0331111A","1年",2.73,8.59,0.36
"JP90C0008022","0331111A","3年",26.34,11.37,0.75
"JP90C0008022","0331111A","5年",33.41,10.09,0.63
"JP90C0008022","0331111A","10年",144.7,10.1,0.94
"JP90C00081U4","7931211C","6ヶ月",0.49,12.04,0.13
"JP90C00081U4","7931211C","1年",1.63,10.98,0.2
"JP90C00081U4","7931211C","3年",35.06,14.99,0.75
"JP90C00081U4","7931211C","5年",35.75,14.74,0.49
"JP90C00081U4","7931211C","10年",223.2,15.74,0.83
"JP90C0008CH5","9C311125","6ヶ月",-10.64,19.39,-1.06
"JP90C0008CH5","9C311125","1年",-9.66,15.64,-0.57
"JP90C0008CH5","9C311125","3年",24.66,15.62,0.55
"JP90C0008CH5","9C311125","5年",32.77,16.01,0.44
"JP90C0008CH5","9C311125","10年",346.95,15.48,1.05
"JP90C00091E7","89313135","6ヶ月",-0.42,20.71,0.05
"JP90C00091E7","89313135","1年",2.9,15.7,0.26
"JP90C00091E7","89313135","3年",52.54,22,0.76
"JP90C00091E7","89313135","5年",60.03,20.22,0.57
"JP90C00091E7","89313135","10年",NA,NA,NA
"JP90C00095F5","01314135","6ヶ月",-9.74,18,-1.05
"JP90C00095F5","01314135","1年",-1.76,15.04,-0.05
